episode:12,Updates:12/312,Timesteps:83200/2000000,FPS:121.0,avg_sp:51.5,avg_xp_0_0:29.25,avg_xp_0_1:84.625,avg_xp_1_0:74.125,avg_xp_1_1:41.0,avg_xp_2_0:8.1875,avg_xp_2_1:101.25,avg_xp_3_0:9.8125,avg_xp_3_1:344.8125,avg_xp_4_0:35.0,avg_xp_4_1:66.9375,avg_xp_5_0:174.5,avg_xp_5_1:110.9375,avg_mp:311.73057644110276,value_loss:1.3002182704163716,policy_loss:0.1061033734237475,dist_entropy:6.293618667125702,actor_grad_norm:0.10646982043981552,critic_grad_norm:0.8685977082699537,ratio:3.9939179539680483,best_i:3,average_step_rewards:0.1287499964237213
episode:13,Updates:13/312,Timesteps:89600/2000000,FPS:121.0,avg_sp:59.3125,avg_xp_0_0:17.0625,avg_xp_0_1:86.625,avg_xp_1_0:83.75,avg_xp_1_1:48.6875,avg_xp_2_0:22.25,avg_xp_2_1:95.4375,avg_xp_3_0:18.9375,avg_xp_3_1:266.9375,avg_xp_4_0:60.375,avg_xp_4_1:31.6875,avg_xp_5_0:174.125,avg_xp_5_1:104.0,avg_mp:323.29824561403507,value_loss:1.1094996202737093,policy_loss:0.04776849883721903,dist_entropy:6.115338003635406,actor_grad_norm:0.09818400479853154,critic_grad_norm:0.7788621263578535,ratio:3.995532917976379,best_i:3,average_step_rewards:0.1482812464237213
episode:14,Updates:14/312,Timesteps:96000/2000000,FPS:120.0,avg_sp:90.375,avg_xp_0_0:59.625,avg_xp_0_1:137.4375,avg_xp_1_0:105.5,avg_xp_1_1:36.125,avg_xp_2_0:25.25,avg_xp_2_1:176.3125,avg_xp_3_0:15.5,avg_xp_3_1:220.1875,avg_xp_4_0:108.8125,avg_xp_4_1:46.75,avg_xp_5_0:183.6875,avg_xp_5_1:159.6875,avg_mp:303.640350877193,value_loss:0.8760406535118819,policy_loss:0.023161951684856595,dist_entropy:5.8231096267700195,actor_grad_norm:0.2030622884631157,critic_grad_norm:1.4251851733773946,ratio:3.995925009250641,best_i:3,average_step_rewards:0.22593750059604645
episode:15,Updates:15/312,Timesteps:102400/2000000,FPS:120.0,avg_sp:113.8125,avg_xp_0_0:33.5,avg_xp_0_1:101.9375,avg_xp_1_0:184.125,avg_xp_1_1:91.4375,avg_xp_2_0:47.8125,avg_xp_2_1:174.1875,avg_xp_3_0:21.25,avg_xp_3_1:220.8125,avg_xp_4_0:139.875,avg_xp_4_1:96.9375,avg_xp_5_0:106.9375,avg_xp_5_1:157.3125,avg_mp:400.61027568922304,value_loss:1.4200627207756042,policy_loss:-0.0386099151388815,dist_entropy:5.5396660447120665,actor_grad_norm:0.15719046220183372,critic_grad_norm:3.598410722613335,ratio:4.001659512519836,best_i:5,average_step_rewards:0.28453123569488525
episode:16,Updates:16/312,Timesteps:108800/2000000,FPS:119.0,avg_sp:161.5,avg_xp_0_0:63.0,avg_xp_0_1:174.0,avg_xp_1_0:96.5,avg_xp_1_1:39.4375,avg_xp_2_0:60.5625,avg_xp_2_1:237.4375,avg_xp_3_0:25.9375,avg_xp_3_1:217.625,avg_xp_4_0:81.8125,avg_xp_4_1:97.75,avg_xp_5_0:176.8125,avg_xp_5_1:158.0,avg_mp:334.65664160401,value_loss:1.5305888682603837,policy_loss:-0.015422226074827705,dist_entropy:5.924038994312286,actor_grad_norm:0.2091767482459545,critic_grad_norm:4.687991670519113,ratio:4.0016831934452055,best_i:1,average_step_rewards:0.4037500023841858
episode:17,Updates:17/312,Timesteps:115200/2000000,FPS:119.0,avg_sp:218.5,avg_xp_0_0:87.25,avg_xp_0_1:145.75,avg_xp_1_0:105.0,avg_xp_1_1:98.5,avg_xp_2_0:65.25,avg_xp_2_1:171.375,avg_xp_3_0:53.5625,avg_xp_3_1:194.3125,avg_xp_4_0:166.9375,avg_xp_4_1:100.375,avg_xp_5_0:152.3125,avg_xp_5_1:139.8125,avg_mp:367.53007518796994,value_loss:1.1297019958496093,policy_loss:0.005394598795063432,dist_entropy:5.30351425409317,actor_grad_norm:0.14768388643860816,critic_grad_norm:3.1815972939133643,ratio:3.9941257655620577,best_i:5,average_step_rewards:0.5462499856948853
episode:18,Updates:18/312,Timesteps:121600/2000000,FPS:119.0,avg_sp:260.75,avg_xp_0_0:108.9375,avg_xp_0_1:95.6875,avg_xp_1_0:271.9375,avg_xp_1_1:184.5625,avg_xp_2_0:55.4375,avg_xp_2_1:138.1875,avg_xp_3_0:64.25,avg_xp_3_1:161.0625,avg_xp_4_0:159.3125,avg_xp_4_1:165.875,avg_xp_5_0:118.125,avg_xp_5_1:98.0625,avg_mp:506.88847117794484,value_loss:1.051530346274376,policy_loss:0.01782874982085173,dist_entropy:5.232810926437378,actor_grad_norm:0.19717999622225763,critic_grad_norm:1.4145311810076238,ratio:3.995306706428528,best_i:5,average_step_rewards:0.6518750190734863
episode:19,Updates:19/312,Timesteps:128000/2000000,FPS:119.0,avg_sp:273.25,avg_xp_0_0:95.375,avg_xp_0_1:168.25,avg_xp_1_0:231.375,avg_xp_1_1:147.9375,avg_xp_2_0:109.1875,avg_xp_2_1:152.1875,avg_xp_3_0:95.5625,avg_xp_3_1:254.125,avg_xp_4_0:192.75,avg_xp_4_1:202.125,avg_xp_5_0:160.5,avg_xp_5_1:123.1875,avg_mp:455.02130325814534,value_loss:1.5553473234176636,policy_loss:-0.01940864664917665,dist_entropy:5.504775488376618,actor_grad_norm:0.25994514524936674,critic_grad_norm:4.402058567106724,ratio:4.002793943881988,best_i:1,average_step_rewards:0.6831250190734863
episode:20,Updates:20/312,Timesteps:134400/2000000,FPS:118.0,avg_sp:341.375,avg_xp_0_0:122.25,avg_xp_0_1:225.8125,avg_xp_1_0:279.25,avg_xp_1_1:220.6875,avg_xp_2_0:160.4375,avg_xp_2_1:215.5625,avg_xp_3_0:121.875,avg_xp_3_1:223.0,avg_xp_4_0:190.0,avg_xp_4_1:238.3125,avg_xp_5_0:134.5,avg_xp_5_1:133.9375,avg_mp:558.6177944862155,value_loss:2.1466298788785934,policy_loss:-0.06839244970411293,dist_entropy:5.362642812728882,actor_grad_norm:0.278283329308033,critic_grad_norm:5.985468938946724,ratio:4.001460236310959,best_i:4,average_step_rewards:0.8534374833106995
episode:21,Updates:21/312,Timesteps:140800/2000000,FPS:118.0,avg_sp:415.5625,avg_xp_0_0:212.8125,avg_xp_0_1:295.375,avg_xp_1_0:170.875,avg_xp_1_1:188.0,avg_xp_2_0:209.8125,avg_xp_2_1:288.5,avg_xp_3_0:168.8125,avg_xp_3_1:324.875,avg_xp_4_0:156.375,avg_xp_4_1:167.9375,avg_xp_5_0:133.75,avg_xp_5_1:197.625,avg_mp:474.21177944862154,value_loss:1.2116055369377137,policy_loss:0.0482602251335976,dist_entropy:5.369227647781372,actor_grad_norm:0.17587906792759894,critic_grad_norm:4.367492690682411,ratio:3.998053228855133,best_i:1,average_step_rewards:1.038906216621399
