episode:14,Updates:14/312,Timesteps:96000/2000000,FPS:265.0,avg_sp:12.0,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:13.477443609022556,value_loss:1.6089947606436907,policy_loss:-0.05827778012246245,dist_entropy:6.613690638542176,actor_grad_norm:0.2647677645087242,critic_grad_norm:1.4835340820252896,ratio:3.9996184766292573,best_i:0,average_step_rewards:0.029999999329447746
episode:15,Updates:15/312,Timesteps:102400/2000000,FPS:264.0,avg_sp:17.4375,avg_xp_0_0:0.1875,avg_xp_0_1:0.0,avg_mp:14.073934837092732,value_loss:1.8094525785185396,policy_loss:-0.036399056873528755,dist_entropy:6.491998600959778,actor_grad_norm:0.26870515793561933,critic_grad_norm:2.1482516217045484,ratio:3.9982490301132203,best_i:0,average_step_rewards:0.04359374940395355
episode:16,Updates:16/312,Timesteps:108800/2000000,FPS:263.0,avg_sp:17.125,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:14.931077694235588,value_loss:1.9520455289632082,policy_loss:-0.09540878538982014,dist_entropy:6.426314842700958,actor_grad_norm:0.08826937749981881,critic_grad_norm:2.8439329753629865,ratio:4.001985615491867,best_i:0,average_step_rewards:0.04281250014901161
episode:17,Updates:17/312,Timesteps:115200/2000000,FPS:263.0,avg_sp:27.9375,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:17.100250626566417,value_loss:1.8020531684160233,policy_loss:-0.10350590284812693,dist_entropy:6.379621362686157,actor_grad_norm:0.09584908112883568,critic_grad_norm:2.438287354260683,ratio:4.001167225837707,best_i:0,average_step_rewards:0.06984374672174454
episode:18,Updates:18/312,Timesteps:121600/2000000,FPS:262.0,avg_sp:26.0625,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:17.982456140350877,value_loss:2.1636580562219025,policy_loss:-0.1034915050031731,dist_entropy:6.21957961320877,actor_grad_norm:0.18653061389923095,critic_grad_norm:2.6298005651682614,ratio:4.003311723470688,best_i:0,average_step_rewards:0.0651562511920929
episode:19,Updates:19/312,Timesteps:128000/2000000,FPS:262.0,avg_sp:33.6875,avg_xp_0_0:0.1875,avg_xp_0_1:0.0,avg_mp:20.100250626566417,value_loss:1.86311457734555,policy_loss:-0.13229500786564738,dist_entropy:6.107722222805023,actor_grad_norm:0.12227329909801483,critic_grad_norm:1.9886770388111472,ratio:4.0000881314277645,best_i:0,average_step_rewards:0.08421874791383743
episode:20,Updates:20/312,Timesteps:134400/2000000,FPS:262.0,avg_sp:32.875,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:23.271929824561404,value_loss:1.7954864125698804,policy_loss:-0.1171169028546423,dist_entropy:5.9712409496307375,actor_grad_norm:0.255153526365757,critic_grad_norm:2.612165444716811,ratio:3.9990696370601655,best_i:0,average_step_rewards:0.08218750357627869
episode:21,Updates:21/312,Timesteps:140800/2000000,FPS:262.0,avg_sp:38.4375,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:25.102756892230577,value_loss:1.575082296691835,policy_loss:-0.1167961841036588,dist_entropy:5.945207965373993,actor_grad_norm:0.21516984030604364,critic_grad_norm:1.9792529586702585,ratio:3.9987240195274354,best_i:0,average_step_rewards:0.09609375149011612
episode:22,Updates:22/312,Timesteps:147200/2000000,FPS:261.0,avg_sp:42.3125,avg_xp_0_0:0.1875,avg_xp_0_1:0.0,avg_mp:25.857142857142858,value_loss:1.4947584234178066,policy_loss:-0.13667149641772885,dist_entropy:5.858333432674408,actor_grad_norm:0.2631844587624073,critic_grad_norm:2.556229125894606,ratio:3.998857009410858,best_i:0,average_step_rewards:0.10578124970197678
episode:23,Updates:23/312,Timesteps:153600/2000000,FPS:261.0,avg_sp:41.875,avg_xp_0_0:0.0,avg_xp_0_1:0.0,avg_mp:28.42982456140351,value_loss:1.423701912164688,policy_loss:-0.12133630919259134,dist_entropy:5.759566307067871,actor_grad_norm:0.3863720759749413,critic_grad_norm:2.441951516456902,ratio:3.9995779275894163,best_i:0,average_step_rewards:0.10468749701976776
episode:24,Updates:24/312,Timesteps:160000/2000000,FPS:261.0,avg_sp:43.9375,avg_xp_0_0:0.1875,avg_xp_0_1:0.0,avg_mp:31.06140350877193,value_loss:1.3487606696784495,policy_loss:-0.1185515244246524,dist_entropy:5.628794252872467,actor_grad_norm:0.2530024632811546,critic_grad_norm:2.1320986241102218,ratio:4.001084202528,best_i:0,average_step_rewards:0.10984375327825546
episode:25,Updates:25/312,Timesteps:166400/2000000,FPS:261.0,avg_sp:45.375,avg_xp_0_0:0.375,avg_xp_0_1:0.0,avg_mp:32.84837092731829,value_loss:1.2998422041535378,policy_loss:-0.13436963320896284,dist_entropy:5.518257737159729,actor_grad_norm:0.21406540274620056,critic_grad_norm:3.139732346683741,ratio:4.0000817477703094,best_i:0,average_step_rewards:0.11343750357627869
