episode:13,Updates:13/312,Timesteps:89600/2000000,FPS:249.0,avg_sp:1.0,avg_xp_0_0:1.0,avg_xp_0_1:0.0,avg_xp_1_0:1.75,avg_xp_1_1:0.0,avg_mp:34.390977443609025,value_loss:0.561837163916789,policy_loss:0.003892856622606522,dist_entropy:6.600449419021606,actor_grad_norm:0.08525008521974087,critic_grad_norm:1.0450534895062447,ratio:4.002300095558167,best_i:0,average_step_rewards:0.0024999999441206455
episode:14,Updates:14/312,Timesteps:96000/2000000,FPS:248.0,avg_sp:0.5,avg_xp_0_0:1.0625,avg_xp_0_1:0.0,avg_xp_1_0:0.1875,avg_xp_1_1:0.1875,avg_mp:10.635338345864662,value_loss:1.1896140728378668,policy_loss:-0.008310638158418104,dist_entropy:6.529513776302338,actor_grad_norm:0.07710083313286305,critic_grad_norm:1.0988292355090379,ratio:3.9997901916503906,best_i:1,average_step_rewards:0.0012499999720603228
episode:15,Updates:15/312,Timesteps:102400/2000000,FPS:248.0,avg_sp:0.6875,avg_xp_0_0:4.25,avg_xp_0_1:0.0,avg_xp_1_0:0.875,avg_xp_1_1:0.1875,avg_mp:11.497493734335839,value_loss:0.5502244658302515,policy_loss:0.07019253199604343,dist_entropy:6.400964558124542,actor_grad_norm:0.060169631615281105,critic_grad_norm:0.9863137936219573,ratio:3.9993261218070986,best_i:0,average_step_rewards:0.0017187499906867743
episode:16,Updates:16/312,Timesteps:108800/2000000,FPS:247.0,avg_sp:1.0,avg_xp_0_0:1.5625,avg_xp_0_1:0.0,avg_xp_1_0:1.0625,avg_xp_1_1:0.0,avg_mp:12.401002506265664,value_loss:0.7670472544268705,policy_loss:0.033605117454720904,dist_entropy:6.420813500881195,actor_grad_norm:0.06625024229288101,critic_grad_norm:1.4922940138727427,ratio:3.994667226076126,best_i:0,average_step_rewards:0.0024999999441206455
episode:17,Updates:17/312,Timesteps:115200/2000000,FPS:247.0,avg_sp:1.0,avg_xp_0_0:0.5625,avg_xp_0_1:0.0,avg_xp_1_0:1.1875,avg_xp_1_1:0.0,avg_mp:35.66290726817043,value_loss:0.6927138757833745,policy_loss:0.04360581122241571,dist_entropy:6.334011614322662,actor_grad_norm:0.06670370548963547,critic_grad_norm:1.3226122784428298,ratio:3.996967852115631,best_i:0,average_step_rewards:0.0024999999441206455
episode:18,Updates:18/312,Timesteps:121600/2000000,FPS:246.0,avg_sp:0.6875,avg_xp_0_0:1.1875,avg_xp_0_1:0.1875,avg_xp_1_0:0.5625,avg_xp_1_1:0.1875,avg_mp:13.56015037593985,value_loss:1.1372373544145375,policy_loss:0.0787880362175979,dist_entropy:6.30757817029953,actor_grad_norm:0.0787612710148096,critic_grad_norm:1.4427070334553718,ratio:3.995718663930893,best_i:1,average_step_rewards:0.0017187499906867743
episode:19,Updates:19/312,Timesteps:128000/2000000,FPS:246.0,avg_sp:2.0,avg_xp_0_0:0.6875,avg_xp_0_1:0.0,avg_xp_1_0:0.9375,avg_xp_1_1:0.0,avg_mp:36.48370927318296,value_loss:0.7325083315372467,policy_loss:-0.0013541950863001696,dist_entropy:6.297822976112366,actor_grad_norm:0.09242883846163749,critic_grad_norm:1.1302052270621061,ratio:3.997040843963623,best_i:0,average_step_rewards:0.004999999888241291
episode:20,Updates:20/312,Timesteps:134400/2000000,FPS:246.0,avg_sp:4.5,avg_xp_0_0:1.6875,avg_xp_0_1:0.0,avg_xp_1_0:0.5,avg_xp_1_1:0.0,avg_mp:15.085213032581454,value_loss:1.293141597416252,policy_loss:0.025998538990183673,dist_entropy:6.167328298091888,actor_grad_norm:0.09892860837280751,critic_grad_norm:1.773554959334433,ratio:3.996553283929825,best_i:1,average_step_rewards:0.011250000447034836
episode:21,Updates:21/312,Timesteps:140800/2000000,FPS:246.0,avg_sp:7.1875,avg_xp_0_0:0.875,avg_xp_0_1:0.0,avg_xp_1_0:0.375,avg_xp_1_1:0.0,avg_mp:15.69047619047619,value_loss:1.2646049797534942,policy_loss:0.005913996358468965,dist_entropy:6.189852833747864,actor_grad_norm:0.16328411549329758,critic_grad_norm:2.0275649569928644,ratio:4.0000059902668,best_i:0,average_step_rewards:0.01796874962747097
episode:22,Updates:22/312,Timesteps:147200/2000000,FPS:245.0,avg_sp:9.0,avg_xp_0_0:0.5,avg_xp_0_1:0.0,avg_xp_1_0:1.1875,avg_xp_1_1:0.0,avg_mp:40.219298245614034,value_loss:1.2830605749040842,policy_loss:-0.04552698259378198,dist_entropy:6.173697412014008,actor_grad_norm:0.14382665306329728,critic_grad_norm:1.5314320432953537,ratio:4.001603484153748,best_i:0,average_step_rewards:0.02250000089406967
episode:23,Updates:23/312,Timesteps:153600/2000000,FPS:245.0,avg_sp:14.6875,avg_xp_0_0:0.1875,avg_xp_0_1:0.0,avg_xp_1_0:0.875,avg_xp_1_1:0.375,avg_mp:42.175438596491226,value_loss:2.06272596642375,policy_loss:-0.07931259880424042,dist_entropy:5.833483040332794,actor_grad_norm:0.18950402736663818,critic_grad_norm:2.865404576063156,ratio:4.000313305854798,best_i:1,average_step_rewards:0.03671874850988388
